Termo;Significado;Substituição
Mulato(a);A palavra significa literalmente: mula, a cruza de um asno macho com uma égua. O termo surge na época da escravização, quando muitas mulheres escravizadas eram violentadas por “seus senhores” e tinham filhos que eram chamados de mulatos.;Pardo(a) ou mestiço(a)
Não sou tuas negas;Trata a mulher negra como “qualquer uma” ou “de todo mundo”, relembra o tratamento às mulheres escravizadas que eram, seguidamente, assediadas e estupradas. A frase deixa explícita que com “as negras pode tudo”, e com as demais não se pode fazer o mesmo, e no tudo está incluso desfazer, mal tratar. Portanto, além de profundamente racista, o termo é carregado de machismo.;
Nega maluca;É utilizada para designar um conhecido bolo de chocolate. Porém, deprecia a mulher negra ao associá-la a um produto a ser consumido – uma sobremesa. Também reforça a sexualização indevida da mulher negra e tenta retirar sua capacidade de discernimento e inteligência.;Bolo de chocolate
Negra(o) bonita(o);A fala racista vem da tentativa de “elogiar” pessoas negras. Assim sendo, coloca o padrão de beleza próximo do europeu como superior (porque traços diferentes seriam “grossos” ou “grosseiros”) e como a regra, já que o que desvia dele é considerado diferente ou “exótico”.;Bonita(o)
Negra(o) de traços finos;A fala racista vem da tentativa de “elogiar” pessoas negras. Assim sendo, coloca o padrão de beleza próximo do europeu como superior (porque traços diferentes seriam “grossos” ou “grosseiros”) e como a regra, já que o que desvia dele é considerado diferente ou “exótico”.;Bonita(o)
Negrinho (doce);Usado para chamar o típico doce de chocolate (que é marrom).;Brigadeiro
Negrinho (expressão generalizante);Expressões normalmente utilizadas para generalizar algo que alguém fez ou para tornar alguém desconhecido autor da ação, sendo na maioria das vezes utilizadas em contextos pejorativos, que associam um autor negro a um comportamento negativo.;Tem gente que não tem noção
Negrinho apronta;Expressões normalmente utilizadas para generalizar algo que alguém fez ou para tornar alguém desconhecido autor da ação, sendo na maioria das vezes utilizadas em contextos pejorativos, que associam um autor negro a um comportamento negativo.;Tem gente que não tem noção
Neguinho é foda;Expressões normalmente utilizadas para generalizar algo que alguém fez ou para tornar alguém desconhecido autor da ação, sendo na maioria das vezes utilizadas em contextos pejorativos, que associam um autor negro a um comportamento negativo.;Tem gente que não tem noção
Neguinho é sem noção;Expressões normalmente utilizadas para generalizar algo que alguém fez ou para tornar alguém desconhecido autor da ação, sendo na maioria das vezes utilizadas em contextos pejorativos, que associam um autor negro a um comportamento negativo.;Tem gente que não tem noção
Nhaca;Desde a época colonial o termo é usado para falar de algo com cheiro forte, desagradável. O que pouca gente sabe é que Inhaca é uma ilha de Moçambique e é daí que vem o uso do termo, mais uma vez para reforçar estereótipos e preconceitos.;Cheiro ruim
Ovelha negra;Carrega também o simbolismo de associar sempre o negro a algo ruim.;Pessoa ruim
Preto de alma branca;Tentativa de elogiar uma pessoa preta fazendo referência à dignidade dela como algo pertencente apenas às pessoas brancas.;Boa pessoa
Programa de índio;Expressão usada para definir um programa ruim. É evidente o racismo nela expresso, uma vez que decorre da herança discriminatória contra os povos originários. Fundamenta-se na suposição de que os povos originários são menos interessantes, inferiores.;Programa chato/desinteressante
Samba do crioulo doido;É o título de uma canção de samba, composta por Sérgio Porto (pseudônimo de Stanislaw Ponte Preta), que ironizava a obrigatoriedade de as escolas de samba retratarem em seus enredos apenas temas de fatos histórico. Porém a expressão debochada reforça um estereótipo e descriminação aos negros.;Confusão, trapalhada, bagunça
Serviço de preto;Usado para descrever um serviço mal feito. O termo é carregado de preconceito, uma vez que descreve as pessoas negras como incapazes e preguiçosas.;Trabalho errado, tarefa malfeita ou realizada de forma errada
Tem caroço nesse angu;A expressão possui origem em um truque realizado pelos escravizados para melhor se alimentarem. Quando o prato era composto de angu de fubá, o que acontecia com frequência. A escravizada que lhes servia, por vezes, conseguia esconder um pedaço de carne ou alguns torresmos debaixo do angu.;Aí tem coisa!
Tem o pé na cozinha;Usada de forma preconceituosa para falar de pessoas de origem negra, uma vez que na época da escravização, este era o espaço destinado às mulheres negras.;
Teta de nega;Refere-se a um doce de chocolate recheado com merengue ou marshmallow. O nome faz uma comparação chula do formato do doce com o seio de uma mulher negra. Assim, hipersexualiza a mulher negra ao associá-la a um produto – sobremesa – a ser consumido.;“Nhá Benta” (seu outro nome, que é uma referência à personagem Dona Benta, de Monteiro Lobato) ou “doce de chocolate recheado com marshmallow”
Tribo;Descreve povos que, sob o olhar contemporâneo e ocidental, ficaram no passado. Na mídia, quando se fala de ‘tribos de índios’, por exemplo, é para mostrar aqueles que foram dizimados, ou que são primitivos e pararam no tempo em uma suposta linha evolutiva. Grupos de pessoas que vivem isoladas e só podem ser vistas como selvagens ou animais em extinção.;Povos, Nação ou artigo antes do nome da Nação
